Autores,Titulo,Ano de Publicacao,Fonte,Status,EEG,BCI,MI,Classification,Model/pipeline,Temporal_filter,Anotation
Xu B.; Song A.; Fei S.,Pattern recognition method of motor imagery tasks,2011,Scopus,nao_passou,passou,passou,passou,passou,passou,depende,Tá em chines
Thomas K.P.; Lau C.T.; Vinod A.P.; Guan C.; Ang K.K.,A New Discriminative Common Spatial Pattern Method for Motor Imagery Brain—Computer Interfaces,2009,Scopus,passou,passou,passou,passou,passou,passou,passou,"Fala ""a new discriminative filter bank (FB) common spatial pattern algorithm to extract subject-specific FB for MI classification"". Vai ter filtro temporal provavelmente"
Kong W.; Guo X.; Zhao X.; Wei D.; Hu S.; Dai G.; Vecchiato G.; Babiloni F.,Spectral analysis of brain function network for the classification of motor imagery tasks,2011,Scopus,depende,passou,passou,passou,passou,depende,depende,"Então, fala ""It is different from classical methods which classified the MI task with time-frequency analysis on EEG signals. It employs the brain function network(BFN) as a new characteristic to describe MI tasks"". Portanto não é exatamente o mesmo ponto analise. Porem é possivel que não tenha filtro temporal por conta disso. Só ver se tem para poder incluir ou n"
Luo J.; Wang J.; Xu R.; Xu K.,Class discrepancy-guided sub-band filter-based common spatial pattern for motor imagery classification,2019,Scopus,depende,passou,passou,passou,passou,passou,depende,"Fala ""A class discrepancy-guided sub-band filter-based CSP (CDFCSP) algorithm is proposed to automatically recognize and augment the discriminative frequency bands for CSP algorithms. Specifically, a priori knowledge and templates obtained from the training set were applied as the design guidelines of the class discrepancy-guided sub-band filter (CDF). Second, a filter bank CSP was used to extract features from EEG traces filtered by the CDF"". Logo é possivel que tenha uma parte especifica que faz a filtragem temporal e que pode ser usada. No caso o CDF é o que pode ser o filtro temporal, dar uma olhada para ter certeza."
Zhou Y.; He Q.-h.; Jiao X.-b.,A system of motor imaging brain-computer interface based on labVIEW,2011,Scopus,depende,passou,passou,passou,passou,depende,passou,"Artigo com resumo estranho, mas fala ""The band pass filtering is used to improve the signal-to-noise ratio (SNR)"". Parece que da pra considerar o filtro usado."
Xu B.; Zhang L.; Song A.; Wu C.; Li W.; Zhang D.; Xu G.; Li H.; Zeng H.,Wavelet Transform Time-Frequency Image and Convolutional Network-Based Motor Imagery EEG Classification,2019,Scopus,depende,passou,passou,passou,passou,passou,depende,"Pare usar wavelet como mostra em ""a wavelet transform-based input, which combines the time-frequency images of C3, Cz, and C4 channels, is proposed to extract the feature of motor imagery EEG signal. Then, a 2-Layer convolutional neural network is built as the classifier and convolutional kernels of different sizes are validated"""
Xu S.; Zhu L.; Kong W.; Peng Y.; Hu H.; Cao J.,A novel classification method for EEG-based motor imagery with narrow band spatial filters and deep convolutional neural network,2022,Scopus,passou,passou,passou,passou,passou,passou,passou,"Variação de FBCSP, assim como fala ""narrow filter bank CSP (NFBCSP) algorithm, which automatically determines the optimal narrow band for two-class motor imagery by band search tree, and a high-performance classification model dedicated to each subject can be obtained in a short time for online processing or further offline analysis"""
Ai Q.; Zhao M.; Chen K.; Zhao X.; Ma L.; Liu Q.,Flexible coding scheme for robotic arm control driven by motor imagery decoding,2022,Scopus,depende,passou,passou,passou,depende,depende,depende,"Artigo fala ""the artifact components in the MI-EEG signal are removed by using the threshold and threshold function related to the artifact removal evaluation index, and then the data is augmented by the empirical mode decomposition (EMD) algorithm"", porem fala também ""EEG signal recognition results are mapped to the control commands of the robotic arm, which realizes multiple degrees of freedom control of the robotic arm"". Não parece ser um problema de classificação, mas é melhor verificar"
Miao M.; Wang A.; Zeng H.,Designing robust spatial filter for motor imagery electroencephalography signal classification in brain-computer interface systems,2017,Scopus,depende,passou,passou,passou,passou,passou,depende,"Não fala nada sobre filtragem temporal e provavel que nem tenha, mas vale a pena verificar pra ter certeza."
Acharya S.; Mollazadeh M.; Murari K.; Thakor N.,Spatiotemporal source tuning filter bank for multiclass EEG based brain computer interfaces,2006,Scopus,depende,passou,passou,passou,passou,passou,depende,"O artigo fala ""used a novel combination of Principle Component Analysis, Independent Component Analysis and Dipole Source Localization to design a Spatiotemporal Multiple Source Tuning (SPAMSORT) filter bank, each channel of which was tuned to the activity of an underlying dipole source"". Parece que tem filtro temporal, só verificar quem tá fazendo esse papel."
