Autores,Titulo,Ano de Publicacao,Fonte,status,anotation
Niu X.; Lu N.; Yan R.; Luo H.,Model and Data Dual-Driven Double-Point Observation Network for Ultra-Short MI EEG Classification,2024,Scopus,nao_passou,Nao aparenta possuir nenhum filtro temporal ou metodo que funcione como tal. Parece ser um artigo de Redes neurais uma pra classificar sinais e depois passar isso pra outra processar.
Park C.; Looney D.; Ur Rehman N.; Ahrabian A.; Mandic D.P.,Classification of motor imagery BCI using multivariate empirical mode decomposition,2013,Scopus,passou,apresenta filtragem temporal MEMD (multivariate empirical mode decomposition)
Zhang H.; Dai J.; Zhang S.; Wang Q.; Li Q.; Liu X.; Hao Y.; Yu Y.; Jiang K.; Liu J.; Zhu F.; Chen W.; Zheng X.,Neural ensemble decoding of rat's motor cortex by Kalman filter and optimal linear estimation,2009,Scopus,nao_passou,Nao se trata do escopo de filtragem temporal em EEG BCI MI
Yang Y.; Chen Z.; Li W.; Ma Y.,A Novel Classification Model Based on DWT and CNN-LSTM Motor EEG Imagination Signals,2024,Scopus,depende,"nao aparenta claramente usar filtragem temporal, porem DWT pode ser usado como tal. Olhar para ter certeza se DWT é usado como feature extraction ou temporal filter"
Sakhavi S.; Guan C.; Yan S.,Learning Temporal Information for Brain-Computer Interface Using Convolutional Neural Networks,2018,Scopus,passou,"usa um filterbank modificado, logo tem filtragem temporal"
,"6th European Conference of the International Federation for Medical and Biological Engineering, MBEC 2014",2015,Scopus,depende,"conferencia, nao sei todos os artigos"
Liu Y.; Li M.; Zhang H.; Wang H.; Li J.; Jia J.; Wu Y.; Zhang L.,A tensor-based scheme for stroke patients' motor imagery EEG analysis in BCI-FES rehabilitation training,2014,Scopus,depende,"tem filtragem temporal, porem ela é conjunta com muitas outras coisas. Vale a pena olhar."
Chen Z.; Liang Q.; Zhang B.,Analysis of EEG signal evoked by passive movement and motor imagery,2018,Scopus,passou,FBCSP e STFT parece usar filtragem temporal nesses 2
Abdul Ameer Abbas A.; Martínez-García H.,Real-Time Motor Imagery-Based Brain–Computer Interface System by Implementing a Frequency Band Selection,2023,Scopus,passou,"a digital signal filter will be designed to keep the most characteristic frequency bands of each individual and increase accuracy significantly, logo parece que tem filtragem temporal bem definida"
Zhang S.; Lu Z.; Zhang B.; Zhang Y.; Liang Z.; Zhang L.; Li L.; Huang G.; Zhang Z.; Li Z.,Graph-based feature learning methods for subject-dependent and subject-independent motor imagery EEG decoding,2025,Scopus,passou,"Usa filter bank, logo tem filtragem temporal"
Guger C.; Schlögl A.; Neuper C.; Walterspacher D.; Strain T.; Pfurtscheller G.,Rapid prototyping of an EEG-based brain-computer interface (BCI),2001,Scopus,nao_passou,Nao aparenta estar no escopo de EEG BCI MI com modelo que contenha filtragem temporal.
Song Y.; Sepulveda F.,Comparison between covert sound-production task (sound-imagery) vs. motor-imagery for onset detection in real-life online self-paced BCIs,2020,Scopus,nao_passou,nao esta no escopo da SLR
Xie S.; Duan X.; Feng H.; Meng Y.; Chen G.,Robot control system using a mental task-based brain computer interface,2017,Scopus,depende,"fala de robo, mas usa de EEG BCI MI para controlar. Ver se modelo tem filtro temporal. Tendo pode entrar, nao tendo pode cortar."
Sherwani F.; Shanta S.; Ibrahim B.S.K.K.; Huq M.S.,Wavelet based feature extraction for classification of motor imagery signals,2016,Scopus,passou,wavelet como temporal filter.
Xu B.-G.; Song A.-G.; Fei S.-M.,Feature extraction and classification of EEG in online brain-computer interface,2011,Scopus,nao_passou,ta em chines
Ge S.; Wang R.; Yu D.,Classification of four-class motor imagery employing single-channel electroencephalography,2014,Scopus,passou,STFT com filtro temporal
Kamousi B.; Amini A.N.; He B.,Classification of motor imagery by means of cortical current density estimation and Von Neumann entropy,2007,Scopus,passou,"s, The scalp recorded EEG was first preprocessed by surface Laplacian filtering, time-frequency filtering, noise normalization and independent component analysis. Ter só que descobrir qual o filtro temporal"
Liu C.; Fu Y.; Yang J.; Xiong X.; Sun H.; Yu Z.,Discrimination of motor imagery patterns by electroencephalogram phase synchronization combined with frequency band energy,2017,Scopus,passou,Entra no escopo pq usa band pass (temporal filter). Mas é controle vetorial e nao classificacao.
