Titulo,Autores,Ano de Publicacao,Fonte
Motor Imagery Tasks EEG Signals Classification Using ResNet with Multi-Time-Frequency Representation,W. Liu; Y. Zeng,2022,IEEE
EEG Signals Recognition of Active Brain-Computer Interface Based on Sequential Encoding,X. Huang; L. Wang; L. Ren; Q. Zhan,2022,IEEE
A Power Spectrum Pattern Difference-Based Time-Frequency Sub-Band Selection Method for MI-EEG Classification,L. Zheng; Y. Ma; P. Lian; Y. Xiao; Z. Yi; Q. Song; W. Feng; X. Wu,2022,IEEE
State-of-the-Art Versus Deep Learning: A Comparative Study of Motor Imagery Decoding Techniques,O. George; S. Dabas; A. Sikder; R. O. Smith; P. Madiraju; N. Yahyasoltani; S. I. Ahamed,2022,IEEE
Brain-Computer Interface Rehabilitation System Design Based on Motor Imagery,Q. Wei; A. Wei; F. Peng; X. Zhang; X. Wang; Z. Wang; P. Li,2022,IEEE
Motor Imagery EEG Signal Classification for Stroke Survivors Rehabilitation,A. E. Voinas; R. Das; M. A. Khan; I. Brunner; S. Puthusserypady,2022,IEEE
SincNet-Based Hybrid Neural Network for Motor Imagery EEG Decoding,C. Liu; J. Jin; I. Daly; S. Li; H. Sun; Y. Huang; X. Wang; A. Cichocki,2022,IEEE
A Tensor-Based Frequency Features Combination Method for Brain–Computer Interfaces,Y. Pei; Z. Luo; H. Zhao; D. Xu; W. Li; Y. Yan; H. Yan; L. Xie; M. Xu; E. Yin,2022,IEEE
Transfer Learning for Classifying Motor Imagery EEG: A Comparative Study,T. Limpiti; K. Seetanathum; N. Sricom; N. Puttarak,2021,IEEE
Retracted: Feature Optimization of Motor Imagery EEG Classification using BEE Scout Algorithms and Machine Learning for ALS Disease Predication,D. Pandey; V. Namdeo,2021,IEEE
Multi-class MI-EEG Classification: Using FBCSP and Ensemble Learning Based on Majority Voting,X. Wei; E. Dong; L. Zhu,2021,IEEE
A Novel DCNN Based MI-EEG Classification Method Using Spatio-Frequency Information,L. Wang; M. Li,2021,IEEE
Time-frequency Based EEG Motor Imagery Signal Classification with Deep Learning Networks,M. K. M. Rabby; R. B. Eshun; S. Belkasim; A. K. M. K. Islam,2021,IEEE
Correlation Alignment in Filter Bank Riemannian Tangent Space for Motor Imagery Classification,X. Zou; X. Xie; F. Qi,2021,IEEE
5 Hz rTMS improves motor-imagery based BCI classification performance,T. Jia; L. Mo; C. Li; A. Liu; Z. Li; L. Ji,2021,IEEE
A Graph-Based Feature Extraction Algorithm Towards a Robust Data Fusion Framework for Brain-Computer Interfaces,S. Zhu; S. I. Hosni; X. Huang; S. B. Borgheai; J. McLinden; Y. Shahriari; S. Ostadabbas,2021,IEEE
Filter Bank Sinc-ShallowNet with EMD-based Mixed Noise Adding Data Augmentation for Motor Imagery Classification,J. Chen; W. Yi; D. Wang,2021,IEEE
Motor Imagery Signal Classification Using Constant-Q Transform for BCI Applications,M. A. Balim; C. Hanİlçİ; N. Acir,2021,IEEE
A Transfer Learning Method based on VGG-16 Convolutional Neural Network for MI Classification,M. -A. Li; D. -Q. Xu,2021,IEEE
Eye-Blink artifact Detection and Removal Approaches for BCI using EEG,M. M. Wankhade; S. S. Chorage,2021,IEEE
CNN-based Approaches For Cross-Subject Classification in Motor Imagery: From the State-of-The-Art to DynamicNet,A. Zancanaro; G. Cisotto; J. R. Paulo; G. Pires; U. J. Nunes,2021,IEEE
Motor Imagery Multi-classification based on Canonical Correlation Analysis Feature Fusion,Z. Yang; S. Guo; Y. Hong,2021,IEEE
Filter Bank Adversarial Domain Adaptation For Motor Imagery Brain Computer Interface,Y. Zhang; S. Qiu; W. Wei; X. Ma; H. He,2021,IEEE
A Novel Channel Selection Method for BCI Classification Using Dynamic Channel Relevance,A. Tiwari; A. Chaturvedi,2021,IEEE
"Short-Time Fourier Transform Covariance and Selection, A Feature Extraction Method for Binary Motor Imagery Classification",Y. Ma; L. Zheng; Z. Yi; Y. Xiao; C. Wang; X. Wu,2021,IEEE
Time-frequency decomposition-based weighted ensemble learning for motor imagery EEG classification,L. Zheng; Y. Ma; M. Li; Y. Xiao; W. Feng; X. Wu,2021,IEEE
